snapshot,src_student,dst_student,src_class,dst_class,src_gender,dst_gender,same_class,importance
0,1181,1645,MP*1,MP*1,M,M,True,0.09317365
0,1108,1667,MP*1,MP*1,M,M,True,0.08762715
0,658,692,PC,PC,M,M,True,0.08631734
0,1181,1674,MP*1,MP*1,M,M,True,0.08536186
0,826,1674,PSI*,MP*1,M,M,False,0.08536186
0,610,692,PC,PC,M,M,True,0.08498278
0,851,868,PSI*,PSI*,M,M,True,0.0848088
0,636,868,PC,PSI*,M,M,False,0.07935873
0,864,892,PSI*,PC*,M,M,False,0.07616212
0,1181,1622,MP*1,MP*1,M,M,True,0.07153296
0,826,1622,PSI*,MP*1,M,M,False,0.07153296
0,864,868,PSI*,PSI*,M,M,True,0.06674306
0,868,892,PSI*,PC*,M,M,False,0.06663997
0,826,1181,PSI*,MP*1,M,M,False,0.05764207
1,1190,1658,MP*1,MP*1,M,M,True,0.70556384
1,636,869,PC,PSI*,M,M,False,0.70556384
1,1108,1628,MP*1,MP*1,M,M,True,0.66093594
1,849,875,PC*,PC*,F,M,True,0.61759841
1,1660,1679,MP*1,MP*1,F,M,True,0.60568959
1,652,683,PC,PC,M,F,True,0.594001
1,845,848,PSI*,PSI*,F,M,True,0.58143318
1,821,824,PC*,PC*,M,F,True,0.5723139
1,849,893,PC*,PC*,F,M,True,0.56580144
1,804,853,PC*,PSI*,M,F,False,0.54734379
1,807,875,PC*,PC*,M,M,True,0.53950262
1,1613,1678,MP*1,MP*1,M,M,True,0.53348565
1,803,880,PC*,PC*,F,M,True,0.53163028
1,830,848,PSI*,PSI*,M,M,True,0.51047647
1,883,889,PC*,PC*,M,M,True,0.50000012
1,656,682,PC,PC,M,M,True,0.50000012
1,830,834,PSI*,PSI*,M,M,True,0.5
1,888,890,PC*,PC*,M,M,True,0.5
1,696,823,PC,PC*,F,M,False,0.49743974
1,806,1632,PC*,MP*1,M,M,False,0.4931266
1,814,895,PC*,PC*,F,F,True,0.48868924
1,889,892,PC*,PC*,M,M,True,0.48447329
1,862,863,PSI*,PSI*,F,F,True,0.48307335
1,618,847,PC,PC*,F,F,False,0.47497588
1,892,897,PC*,PC*,M,M,True,0.47467735
1,819,882,PC*,PC*,F,M,True,0.45023331
1,821,886,PC*,PC*,M,M,True,0.44789851
1,698,817,PC,PC*,M,F,False,0.44728681
1,636,643,PC,PC,M,F,True,0.43096679
1,851,857,PSI*,PSI*,M,M,True,0.42587346
1,1657,1662,MP*1,MP*1,M,F,True,0.42549106
1,660,681,PC,PC,M,F,True,0.42391127
1,694,896,PC,PC*,F,M,False,0.42284587
1,654,694,PC,PC,M,F,True,0.4196347
1,1618,1629,MP*1,MP*1,M,M,True,0.41875738
1,609,616,PC,PC,M,M,True,0.41646165
1,1657,1672,MP*1,MP*1,M,M,True,0.41495034
1,634,682,PSI*,PC,M,M,False,0.40603453
1,841,864,PSI*,PSI*,F,M,True,0.39860064
1,1645,1657,MP*1,MP*1,M,M,True,0.39592516
1,851,855,PSI*,PSI*,M,F,True,0.39181393
1,676,867,PSI*,PSI*,M,M,True,0.39041328
1,1660,1662,MP*1,MP*1,F,F,True,0.38653278
1,803,849,PC*,PC*,F,F,True,0.38442695
1,658,815,PC,PC*,M,M,False,0.36838672
1,866,894,PSI*,PC*,M,M,False,0.35878634
1,819,822,PC*,PC*,F,F,True,0.35323399
1,1613,1671,MP*1,MP*1,M,M,True,0.35130224
1,1148,1679,MP*1,MP*1,M,M,True,0.34470284
1,806,822,PC*,PC*,M,F,True,0.34269863
1,892,895,PC*,PC*,M,F,True,0.34069893
1,664,676,PSI*,PSI*,F,M,True,0.33865243
1,623,661,PC,PC,F,M,True,0.3355622
1,1649,1651,MP*1,MP*1,F,M,True,0.32870555
1,658,683,PC,PC,M,F,True,0.32409996
